feature,importance
numeric__BMI_Age_Interaction,0.056804120480241
numeric__Alcohol_Intake,0.05627322041902237
numeric__LDL_HDL_Ratio,0.053360602224928895
numeric__Triglycerides_HDL_Ratio,0.052656320026039975
numeric__Glucose,0.05236376024440149
numeric__Salt_Intake,0.05151880467865006
numeric__BMI,0.0503175463447983
numeric__Cholesterol_HDL_Ratio,0.04999304637331306
numeric__Cholesterol,0.04730726106758346
numeric__Sleep_Duration,0.044918093375504425
numeric__Triglycerides,0.044843451946573014
numeric__LDL,0.04442662074787229
numeric__Heart_Rate,0.042733838203935025
numeric__Mean_Arterial_Pressure,0.04257437695600738
numeric__Pulse_Pressure,0.038657032000497214
numeric__Age,0.036243803456552606
numeric__Systolic_BP,0.03569440790352201
numeric__Diastolic_BP,0.03382086924499979
numeric__HDL,0.030379503004940977
numeric__Stress_Level,0.022129569424024262
numeric__Lifestyle_Risk_Score,0.01038717042743877
numeric__Medical_Risk_Score,0.008520229055002073
categorical__Employment_Status_Employed,0.004921308776547185
categorical__Education_Level_Primary,0.0047690327128475365
categorical__Employment_Status_Retired,0.004595919154679927
categorical__Smoking_Status_Former,0.004401146475975144
categorical__Employment_Status_Unemployed,0.004394388015879834
categorical__Physical_Activity_Level_High,0.004380017426594523
categorical__Education_Level_Secondary,0.004332740052805077
categorical__Physical_Activity_Level_Moderate,0.004321230077979401
categorical__Smoking_Status_Current,0.004232100350502831
categorical__Education_Level_Tertiary,0.004230265078102556
categorical__Smoking_Status_Never,0.004213707878249105
categorical__Diabetes_No,0.004192578504109374
categorical__Physical_Activity_Level_Low,0.0041580314372967496
categorical__Family_History_No,0.004059883817515944
categorical__Family_History_Yes,0.0040274284578894265
categorical__Diabetes_Yes,0.004004734190888352
categorical__Gender_Female,0.003870418240332846
categorical__Gender_Male,0.003822126711303966
categorical__Country_Brazil,0.0009764766076159517
categorical__Country_UK,0.0009614024036677285
categorical__Country_USA,0.0009359533627592918
categorical__Country_Mexico,0.0009180825412675648
categorical__Country_China,0.0009036244140056747
categorical__Country_Turkey,0.000899488518959062
categorical__Country_France,0.000891748186822948
categorical__Country_Argentina,0.0008735825492666084
categorical__Country_South Africa,0.0008691220446483455
categorical__Country_Saudi Arabia,0.000867897711933983
categorical__Country_Russia,0.0008626324348404494
categorical__Country_Australia,0.0008529162524331392
categorical__Country_Indonesia,0.0008509783180436764
categorical__Country_Germany,0.0008305898507293895
categorical__Country_Japan,0.0008292070836634345
categorical__Country_South Korea,0.000810758496048455
categorical__Country_Canada,0.0008060191620708031
categorical__Country_Spain,0.0007694665081469653
categorical__Country_Italy,0.0007242317812722283
categorical__Country_India,0.0007151168064561497
